Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District
KELDA FOODS P.LTD.,"Naduviledathu Building, Kumaramangalam P.O Para Junction, Thodupuzha - Oonukal Rd, Mylacompu, Thodupuzha, Kumaramangalam part, Kerala 685608, India",Kerala,685608,0,0,0,7756,68298,110197,26367,23000,0,Thodupuzha,Idukki
KERALA BAMBOO HOUSE,"North cliff, Kurakkanni Temple road, Varkala, Kerala 695141, India",Kerala,695141,0,0,0,550,0,2400,0,0,0,Chirayinkeezhu,Thiruvananthapuram
KERALA PLANTATIONS,"Kerala, India",Kerala,682002,0,0,0,226740,0,0,0,0,0,Kochi,Ernakulam
KERALA STATE INDSTL.ENTERPRISES,"Kerala, India",Kerala,688534,0,0,0,10840,10840,3900,457,0,0,Cherthla,Alappuzha
KHUSHI INTERGROUP,"Bus Stop, Thodaparambu, Pooppani Rd, Perumbavoor, Kerala 683543, India",Kerala,683543,0,0,0,284000,321155,0,50000,50000,0,Kunnathunad,Ernakulam
KOLLENGODE AGRO MILLS P.LTD.,"vattekkad, Kollengode, Kerala 678506, India",Kerala,678506,0,0,0,95708,123050,98400,50020,75000,26640,Chittur,Palakkad
KRISHNAVENI GARMENTS,"S.F.NO.547, Kurian Thottam, Annaipalayam,, College Road, Vivekananda Nagar, Kamatchepuram, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,0,0,0,6494,0,0,0,0,0,Tiruppur,Coimbatore
KUNNATH PAPER MILLS P.LTD.,"JQCR+R4X, Meenkara - Parackachella Rd, Muthalamada South, Kerala 678507, India",Kerala,678507,0,0,0,5670,0,0,0,0,0,Alathur,Palakkad
KUNNATHAN WOOD PRODUCTS,"Panichayam Rd, Odakkali, Kerala 683549, India",Kerala,683549,0,0,0,104500,283970,528440,1598908,2596196,1847940,Kunnathunad,Ernakulam
LAKSHMI CASHEW COMPANY,"WJ4C+CG6, Mangad, Kollam, Kerala 691019, India",Kerala,691019,0,0,0,138627,292501,230926,60000,0,0,Kollam,Kollam
LANDEX GREEN SOLUTIONS,"Building NO-41, 2371, Medical Centre Rd, Kochi, Chakkalakkal, Palarivattom, Ernakulam, Kochi, Kerala 682028, India",Kerala,682028,0,0,0,1450,5443,0,0,0,0,Ernakulam,Ernakulam
MADURA MERCERISERS INDIA P.LTD.,"Madurai, Tamil Nadu, India",Tamil Nadu,682002,0,0,0,844,0,0,0,0,0,Kochi,Ernakulam
MAJESTIC ASSOCIATES,"48, Railway Feeder Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001, India",Tamil Nadu,626001,0,0,0,46000,23000,72000,0,0,0,Virudhunagar,Virudhunagar
MATHA TRADERS,"Canal Rd, near ST.James Church, Chambakkara, Poonithura, Maradu, Kochi, Kerala 682038, India",Kerala,682038,0,0,0,17420,44797,190210,52576,88941,150076,Ernakulam,Ernakulam
MAYUR LINKS,"127/21 A, Thalingikadu Thottam, pichampalayam, pichamapalayam pudur, po, Shrinagar, Raja Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,7384,0,0,24125,3071,0,Tiruppur,Coimbatore
METRO TRADING SYNDICATE,"VII/594, Jews St, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,0,0,0,1064,0,0,0,0,0,Kochi,Ernakulam
METRON SYSTEMS,"76GV+3WF, Puthenchira, Kerala 680682, India",Kerala,680682,0,0,0,86,0,0,0,0,0,Mukundapuram,Thrissur
MICRO KNIT APPARELS,"38JW+C84, Tiruppur - Palladam Rd, Karuppa Gaundanpalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,14032,23215,16481,45262,0,0,Tiruppur,Coimbatore
MR.CARE CENTRE P.LTD.,"Fort Road, City Centre Building, 2nd Floor, near Computer Education, Taliparamba, Kannur, Kerala 670001, India",Kerala,670001,0,0,0,23812,27356,0,94,39620,59729,Kannur,Kannur
N.M.TEXTILES,"Big Bazaar St, Koothanallur, Tamil Nadu 614101, India",Tamil Nadu,614101,0,0,0,12272,19145,0,0,0,0,Nidamangalam,Tiruvarur
N.N.K.MARINE EXPORTS,"GROUND FLOOR , NO : 12, 29, North St, ICF South Colony, V.P.Colony, Ayanavaram, Chennai, Tamil Nadu 600023, India",Tamil Nadu,600023,0,0,0,17244,0,0,0,0,0,Perambur Purasawalkam,Chennai
NIFTY APPARELS,"17/3, Padmini Garden West 4th Street, Tiruppur - Kangayam Rd, KNS Subramaniam Nagar, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,5632,3601,0,0,0,0,Tiruppur,Coimbatore
NJG CREATION ,"6 chinna thottam, Kangayam Road, 3rd St, K N P Colony, Bavani Nagar, Tiruppur, Pudhukkadu, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,5672,0,806,386,0,0,Tiruppur,Coimbatore
ORIAL IMARA P.LTD.,"Kalaranthiri-Palakutti Rd, Palakkutty, Koduvally, Kerala 673572, India",Kerala,673572,0,0,0,10879,0,0,0,0,0,Kozhikode,Kozhikode
P.T.EXPORTS,"Plot #1, Kannadasan St, KG NTR Heritage, Sri Ganesh Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",Tamil Nadu,600099,0,0,0,9904,0,11136,0,0,0,Ambattur,Tiruvallur
P.V.KNIT FASHION,"81, Kongu Main Rd, T.N.K Puram, Tiruppur, Tamil Nadu 641607, India",Tamil Nadu,641607,0,0,0,1184,40496,0,0,0,0,Tirupur,Coimbatore
PALANI VIJAY COTTSPIN PVT LTD,"Palani, Tamil Nadu, India",Tamil Nadu,686012,0,0,0,6956,0,0,0,0,0,Kottayam,Kottayam
PALIA BROTHERS,"No. 1/238, Pulpally - Sultan Bathery Hwy, Chethalayam, Kidanganad, Kerala 673592, India",Kerala,673592,0,0,0,12500,0,0,0,0,0,Sulthanbathery,Wayanad
PARISONS ROLLER FLOUR MILLS (P) LTD.,"CHUNGAM JUNCTION, West Hill, Kozhikode, Kerala 673005, India",Kerala,673005,0,0,0,617385,1327405,2630508,4052013,2773543,266465,Kozhikode,Kozhikode
PDS ORGANIC SPICES,"HXGC+P9V, Valanjanaganam, Kuttikkanam, Kerala 685531, India",Kerala,685531,0,0,0,57156,15969,191074,153768,31150,91327,Peerumade,Idukki
PEECHANARI HANDICRAFTS,"Kozhikode, Kerala 673015, India",Kerala,673015,0,0,0,159,0,195,0,0,0,Kozhikode,Kozhikode
PEEJAY AGRO FOODS,"No. 65, W Nada, West Nada, Guruvayur, Kerala 680101, India",Kerala,680101,0,0,0,9047,0,0,18699,0,0,Guruvayur,Thrissur
PHYSTRON HEALTHCARE TECHNOLOGIES,"Q4F9+2VV, Palladam Rd, Settikaalipalayam, Tamil Nadu 642202, India",Tamil Nadu,642202,0,0,0,6190,19795,2560,4536,20093,0,Pollachi,Coimbatore
PIPER INTERNATIONAL,"Shed number 44,SIDCO,,Mudhalipalayam, Harihganans East Colony, Tiruppur, Tamil Nadu 641606, India",Tamil Nadu,641606,0,0,0,22448,5519,0,0,0,0,Tiruppur,Coimbatore
POSEIDON FOOD CO.,"688/1, 2nd Floor, Kunjalu's Place, PT Usha Rd, Shenoys, Kochi, Kerala 682011, India",Kerala,682011,0,0,0,19000,0,0,0,0,0,Ernakulam,Ernakulam
PRECORE SOLUTIONS,"N, Meethiyans Tower, 4/361, North Kalamassery, Kalamassery, Kochi, Kerala 683104, India",Kerala,683104,0,0,0,27144,0,0,0,0,0,Kanayannur,Ernakulam
PREMIER ENGINEERING PRODUCTS,"Kyomtha Seminary Rd, Thrippunithura, Kochi, Kerala 682305, India",Kerala,682305,0,0,0,10400,0,0,0,0,0,Kanayannur,Ernakulam
Q-EXPORTS,"1743/C, 56 Veedu Colony, Sivakasi, Tamil Nadu 626189, India",Tamil Nadu,626189,0,0,0,40700,0,0,0,0,0,Sivakasi,Virudhunagar
Q-RICH CREATIONS,"D.No.208/2,SF.No.201/2, Sirupooluvapatti Main Road 15 - Velampalayam Opp. Amman Kalyana Mandapam, Sirupooluvapatti, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,1100,0,0,0,0,0,Tiruppur,Coimbatore
RAINBOW OVERSEAS,"No.15 ,Sripuram 3rd, Street, Tiruneermalai Main Rd, Nagalkeni, Chromepet, Chennai, Tamil Nadu 600044, India",Tamil Nadu,600044,0,0,0,94450,0,0,0,0,0,Chromepet,Kanchipuram
RAIQA EXPORTS,"MK Arcade, near Tirurangadi Oriental School, Tirurangadi, Kerala 676306, India",Kerala,676306,0,0,0,12759,7020,6573,14281,25279,0,Tirurangadi,Malappuram
RAJA AGENCIES,"Q4Q2+XJF, Bypass Road, opp. Bharath Pertoleum, PSP Nagar, Madathur, Thoothukudi, Tamil Nadu 628008, India",Tamil Nadu,628008,0,0,0,11000,0,0,1034,0,0,Thoothukkudi,Tuticorin
RAJSHREE KNITS,"Pudur Privu, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,0,0,0,645,2491,24973,18217,0,0,Kangayam,Erode
RAMTIRTH ORGANICS,"MVRC+8CR, Palakkad - Pollachi Rd, Gopalapuram, Tamil Nadu 642005, India",Tamil Nadu,642005,0,0,0,288,104,0,0,0,0,Pollachi,Coimbatore
REALKNIT FASHION,"38RR+P59, K V R Nagar, Karuvampalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,2561,0,0,0,0,0,Tiruppur,Coimbatore
REIA FASHIONS,"Swarnapuri Avenue, Thilagar Nagar, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,0,0,0,357642,363418,279685,389811,314785,319074,Tiruppur,Coimbatore
REMMY SUSTRATES INDIA P.LTD.,"295/2A, Kattampatti PO, Jakkarpalayam, Via, Pollachi, Tamil Nadu 642202, India",Tamil Nadu,642202,0,0,0,17916952,27417330,36560126,20042583,10279990,7391800,Pollachi,Coimbatore
RGR KNITWEAR,"58FW+38V, Anna Nagar, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,3345,61212,18478,15647,26350,0,Tiruppur,Coimbatore
RKV IMPEX,"# 1/20, SAKTHI NAGAR, PN Rd, Raja Nagar, Poyampalayam, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,1420,0,0,0,0,0,Tiruppur,Coimbatore
ROLEX OIL MILL,"Iringal, Kerala 673522, India",Kerala,673522,0,0,0,15115,40102,39135,40628,44297,12000,Koyilandi,Kozhikode
RRK ALLOYS,"50 & 51 Sri, Subha Ganesh Industrial Estate, Post, Kuppepalayam, Tamil Nadu 641107, India",Tamil Nadu,641107,0,0,0,491,0,0,0,131,112,Coimbatore South,Coimbatore
S.E.EXPORTS,"S.F No : 517, S.S.Nagr, 1st St, Thirumurugan Nagar, Tiruppur, Tamil Nadu 641607, India",Tamil Nadu,641607,0,0,0,1216,0,0,24908,11856,10959,Tirupur,Coimbatore
SACS FOODS,"146 B/2 Puliyampatti, New Dharapuram Rd, Palani, Kodaimangalam, Tamil Nadu 624617, India",Tamil Nadu,624617,0,0,0,48473,104565,162460,189102,200880,211788,Dindigul,Dindigul
SAMYS INTERNATIONAL,"No. 5/77 Avinashi, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641654, India",Tamil Nadu,641654,0,0,0,68895,92826,10826,43659,122651,110579,Thirumuruganpoondi,Coimbatore
SAN PRECISION ALLOYS,"53, SIDCO Private Industrial Estate, Kurichi, Coimbatore, Tamil Nadu 641021, India",Tamil Nadu,641021,0,0,0,446,0,0,2277,17378,2048,Coimbatore South,Coimbatore
SANTHALAKSHMI MILLS P.LTD.,"JXXJ+MP8, Zamin Uthukuli, Tamil Nadu 642004, India",Tamil Nadu,642004,0,0,0,26298,0,0,143055,216165,35076,Pollachi,Coimbatore
SANTHIGIRI KOOTTUKUDUMB COIR,"Ettumanoor, Kerala 686631, India",Kerala,686631,0,0,0,83200,14000,0,0,0,0,Kottayam,Kottayam
SIVAM ENTERPRISES & EXPORTERS,"26V3+5RC, PV Rajamannar Salai, Kannigapuram, Sector 3, K. K. Nagar, Chennai, Tamil Nadu 600083, India",Tamil Nadu,600083,0,0,0,27500,0,0,0,0,0,Chennai City Corporation,Chennai
SNEHA FABS,"16, Town Extension, 1st, Dharaprm Road, Dharaprm Road, KPN Colony, Valipalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,19504,0,0,0,0,0,Tiruppur,Coimbatore
SPB METAL CASTERS,"10/3,PART,DVP INDUSTRIAL ESTATE, Athipalayam Rd, Ramakrishnapuram, Chinnavedampatti, Coimbatore, Tamil Nadu 641006, India",Tamil Nadu,641006,0,0,0,17680,0,0,0,0,1735,Coimbatore North,Coimbatore
SPECTRA TECH INNOVATIONS,"Mannav Rd, Mannavu, Marathakkara, Thrissur, Kerala 680306, India",Kerala,680306,0,0,0,11500,1850,0,0,0,0,Marathakkara,Thrissur
SPS COCONUT PRODUCTS,"kullampalayam Pirivu, Puthupalayam Village, Uthiyur(po), Kangeyam, Tamil Nadu 638701, India",Tamil Nadu,638701,0,0,0,76000,0,0,0,0,0,Kangayam,Erode
SREE PONNI KNIT HOUSE,"341-2a Pappa nagar 2nd street, Cotton Mill Road, Kumarswami Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,16276,66565,4765,32451,26100,10328,Tiruppur,Coimbatore
SREE VELAN EXPORTS,"S.F. No.: 610/3, A, college road, Vanjipalayam Rd, srivasamahal nearPO, Sirupooluvapatti, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,14000,0,0,0,0,0,Tiruppur,Coimbatore
SREELAKSHMI ALUMINIUM INDUSTRIES,"Pathipara, Koonathara (P.O) Vaniyamkulam, Palakkad, Vaniyamkulam-I, Kerala 679523, India",Kerala,679523,0,0,0,8813,0,0,0,0,0,Ottappalam,Palakkad
SRI MUTHU TEX,"No-36, Muthu Plaza Complex, Muniappan Koil St, Erode Fort, Erode, Tamil Nadu 638001, India",Tamil Nadu,638001,0,0,0,118022,89024,0,0,0,0,Erode,Erode
SRI POORANI GARMENTS,"133, Tiruppur Rd, Thennampalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,4423,0,0,0,0,0,Tiruppur,Coimbatore
SRI VARSSA KNIT FAB,"48W5+QGG, Velampalayam, Ammaiyappan, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,0,0,0,7117,3350,0,0,0,0,Tiruppur,Coimbatore
SS FASTENERS PVT LTD.,"11/5 P.S.F. No. 286/4-286/8 Pappampatti Road, Manoj Nagar, Coimbatore, Kannampalayam, Tamil Nadu 641402, India",Tamil Nadu,641402,0,0,0,3494,2631,5672,20381,4547,27098,Palladam,Coimbatore
SSK POLYMERS,"PW37+6CH, Palaiyapatti Vadakkusethi, Tamil Nadu 613402, India",Tamil Nadu,613402,0,0,0,14637,0,0,0,0,0,Thanjavur,Thanjavur
STAR CLAYS,"Vadama, Mala, Kerala 680732, India",Kerala,680732,0,0,0,48000,0,0,0,0,0,Mukundapuram,Thrissur
SUBASRI TEXTILE,"SF.NO:155/1B Pooluvapatti Pirivu, Vavipalayam Road, Neruperichal Village, PN Rd, Pooluvapatti, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,0,0,0,10562,0,0,0,0,0,Tiruppur,Coimbatore
SUPER GOLDEN FOODS,"Karukutty P.O,Angamaly,Cochin,Kerala-683576 (Near Sree Krishna Temple), Karukutty, Angamaly, Kerala 683576, India",Kerala,683576,0,0,0,4947,0,4777,0,7742,0,Aluva,Ernakulam
SYMEGA FOOD INGREDIENTS,"Synthite Taste Park No. XI 312G, Pancode Near Kolenchery, Kochi, Aikaranad North, Kerala 682310, India",Kerala,682310,0,0,0,177483,854060,894458,1030545,1463539,1602252,Kunnathunad,Ernakulam
TALEM POWER SYSTEMS,"1428028, Kanjiramattom Thalayolaparambu Rd, Gama Junction, Kanjiramattom, Kerala 682315, India",Kerala,682315,0,0,0,27276,0,1600,0,0,0,Ernakulam,Ernakulam
TANYA SPICES,"Gujarati Rd, opp: Santhi Lal sweet house, Nalumadam, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,0,0,0,15695,32080,15760,0,0,30000,Kochi,Ernakulam
TBS PUBLISHERS,"Tbs, GH Rd, Palayam, Kozhikode, Kerala 673001, India",Kerala,673001,0,0,0,12114,17678,940,691,2730,9010,Kozhikode,Kozhikode
TEAM SUSTAIN,"1st floor, inQ Tower, Opp, EMC NH Bypass, Kesaveeyam, Palarivattom, Kochi, Kerala 682025, India",Kerala,682025,0,0,0,890,0,0,0,0,0,Ernakulam,Ernakulam
TEXMO INDUSTRIES,"Mettupalayam Rd, Coimbatore, Tamil Nadu 641029, India",Tamil Nadu,641029,0,0,0,2200,0,0,0,0,0,Coimbatore North,Coimbatore
TEXTFAB KNITWEAR,"17A, 16, 4th St, Erukadu, Karuvampalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,1578,1957,0,0,0,0,Tiruppur,Coimbatore
TRANSPOL IMPEX,"3, Melony Rd, T. Nagar, Chennai, Tamil Nadu 600017, India",Tamil Nadu,600017,0,0,0,52,0,0,0,0,0,Chennai,Chennai
TRITON APPARELS,"SF NO.461, 1B, EB Colony, ABIRAMI NAGAR, Gandhinagar, Velampalayam, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,6361,9420,105,679,7922,8718,Tiruppur,Coimbatore
TRUE WORTH INC.,"EB Colony, Velampalayam, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,2475,0,0,1962,0,0,Tiruppur,Coimbatore
UDHAYA ENERGY PHOTOVOLTAICS P. LTD.,"1/279-z, Mudalipalayam, Arasur, Post, Velayutham Nagar, Coimbatore, Tamil Nadu 641407, India",Tamil Nadu,641407,0,0,0,5491,0,0,0,0,0,Palladam,Coimbatore
UNIQUE SOURCE POINT,"27, Ammasai Street, K.K. Pudur, www.uspindia.com, Kuppakonam Pudur, Coimbatore, Tamil Nadu 641038, India",Tamil Nadu,641038,0,0,0,1718,0,0,0,0,0,Coimbatore North,Coimbatore
UNIVERSAL AGENCIES,"Door No. 10/649/849, First Floor, Maria Building, Pallikulam Rd, Pallikkulam, Thrissur, Kerala 680001, India",Kerala,680001,0,0,0,3180,0,0,0,0,0,Thrissur,Thrissur
USMANIYA WOOD PODUCTS,"XV/635, MALAMURY, PULLUVAZHI P. O, Perumbavoor, Kerala 683541, India",Kerala,683541,0,0,0,27750,0,0,0,235970,33700,Kunnathunad,Ernakulam
V.J.TREADS,"W9WG+76J, Kochi - Madurai - Dhanushkodi Rd, Thiruvankulam, Thrippunithura, Kochi, Kerala 682305, India",Kerala,682305,0,0,0,2493,0,0,0,0,0,Kanayannur,Ernakulam
V.R. COMPOSITES,"Konathakunnu PO Thrissur Dt, 76Q6+8QH, Thekkumkara, Kerala 680123, India",Kerala,680123,0,0,0,14677,47567,17303,22892,40446,39444,Mukundapuram,Thrissur
VADAKKUMCHERRY EXPORTS,"Vadakkencherry, Kerala, India",Kerala,686012,0,0,0,1060,0,0,0,0,28400,Kottayam,Kottayam
VAIKUNTH KNITS,"61, Lakshmi Theatre Road, AB Nagar, Gandhinagar, Po, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,0,0,0,679,0,0,1387,0,18591,Tiruppur,Coimbatore
VEE VEE AUTOSPARES,"Palarivattom Edapally, Palarivattom Rd, Palarivattom, Ernakulam, Kochi, Kerala 680025, India",Kerala,680025,0,0,0,475,0,0,0,0,0,Palarivattom,Ernakulam
VEESEVEN ENGINEERING,"Koorkenchery, Thrissur, Kerala 680007, India",Kerala,680007,0,0,0,6082,0,0,0,0,4740,Koorkenchery,Thrissur
VERTEX RESEARCH CENTRE,"SF.No :74 , Door No:6/100B , Rangasamuthiram , Panikampatti, Post, Palladam, Tamil Nadu 641664, India",Tamil Nadu,641664,0,0,0,3255,0,0,0,0,0,Palladam,Coimbatore
VERVEMAGNUM GLOBAL IMPEX P.LTD.,"3933+743, Karippassery, North Kalamassery, Kalamassery, Kochi, Kerala 682033, India",Kerala,682033,0,0,0,14502,0,0,0,0,68025,Kanayannur,Ernakulam
VICTORY WOOD INDUSTRIES,"Mudiclal Depot Road, Mudickal, Kerala 683547, India",Kerala,683547,0,0,0,87500,0,0,0,167700,0,Kunnathunad,Ernakulam
VIGA KNIT CREATION,"10A, Mettankadu Thottam , pudur pirivu, po, serankadu Main Road, Dharapuram Main Rd, K N P Colony, Pudur Privu, Tiruppur, Tamil Nadu 641608, India",Tamil Nadu,641608,0,0,0,6734,0,0,0,0,0,Pudur Privu,Tiruppur
VISTARA GARMENTS,"Karuppa Gaundanpalayam, Tiruppur, Murugampalayam, Tamil Nadu 641604, India",Tamil Nadu,641604,0,0,0,6682,1015,8424,13991,12410,0,Tiruppur,Coimbatore
WAYANAD FOOD INC.,"Wayanad, Kerala, India",Kerala,682024,0,0,0,1000,0,19000,0,0,0,Ernakulam,Ernakulam
WEAVE IND EXPORTS,"W9QW+RHX, Kattampally - Kannadiparamba - Munderi Rd, Kerala 670604, India",Kerala,670604,0,0,0,2038,3817,0,0,2034,840,Taliparamba,Kannur
WIN POLYMERS,"Win Polymers P.O Kanjany, Thrissur, Manalur, Kerala 680612, India",Kerala,680612,0,0,0,15440,0,0,4610,4492,0,Thrissur,Thrissur
WYANAD FOOD INCORPORATED,"Wayanad, Kerala, India",Kerala,682002,0,0,0,23068,0,26814,0,0,0,Kochi,Ernakulam
XTREME MECH XPERTS,"Lakshmi Thottam, Athipalayam Pirivu, Ramakrishnapuram, Ganapathy, Siranandha Puram, Coimbatore, Tamil Nadu 641049, India",Tamil Nadu,641049,0,0,0,1010,0,0,0,0,0,Coimbatore North,Coimbatore
YOUNG BRAND APPAREL,"Kattuputhur Village, Ozhaiyur, Uthiramerur Taluk, India, Chennai, SH 118, Pulipakkam, Tamil Nadu 603107, India",Tamil Nadu,603107,0,0,0,17684,43112,31428,15865,0,0,Uthiramerur,Kanchipuram
ZEEMRAH ENTERPRISES,"27W7+2XH, Radhakrishnan Salai 6th Street, Krishnapuram, Mylapore, Chennai, Tamil Nadu 600004, India",Tamil Nadu,600004,0,0,0,26835,0,0,0,0,0,Chennai,Chennai
ZEN LINEN INTERNATIOAL,"Plot No. A48, 49, 50, Phase I, Special Economic Zone, MEPZ,, Moulana Nagar, Tambaram, Chennai, Tamil Nadu 600045, India",Tamil Nadu,600045,0,0,0,2173,8912,0,0,0,0,Tambaram,Kanchipuram
A.G.L. FOOTCARE,"6VJ7+4MM, Puthoormadam, Kozhikode, Kerala 673019, India",Kerala,673019,0,0,0,0,3060,0,0,0,0,Kozhikode,Kozhikode
AAHANA INTERNATIOAL LLP,"S.F.No.253/2,Site No.20& 21, Bharathi Nagar,1St Street, Sirupooluvapatti, Ring Road, EB Colony, Post, Tiruppur, Tamil Nadu 641652, India",Tamil Nadu,641652,0,0,0,0,59360,21721,37585,4725,53738,Tiruppur,Coimbatore
AANCHERY DRUGS,"G6C8+PC9, Nayarangadi, Nehru Bazar, Kuruppam, Thekkinkadu Maidan, Thrissur, Kerala 680001, India",Kerala,680001,0,0,0,0,922,0,0,0,0,Thrissur,Thrissur
AARUDHRHA FASHION,"1st, Dharapuram Main Rd, NP Nagar, Thillai Nagar, Street, Tiruppur, Tamil Nadu 641608, India",Tamil Nadu,641608,0,0,0,0,9058,4244,18157,0,10769,Thillai Nagar,Tiruppur
ABM4 TRADES,"27CR+27P, Elamakkara, Kochi, Kerala 682026, India",Kerala,682026,0,0,0,0,72,6750,10821,24685,3703,Ernakulam,Ernakulam
AGARAM IMPEX,"MF4X+8CR, Alangiyam, Tamil Nadu 638672, India",Tamil Nadu,638672,0,0,0,0,27110,0,0,0,0,Dharapuram,Erode
AISWRYA AGRO MILLS,"5CFM+HQH, Mattoor, Kalady, Kerala 683574, India",Kerala,683574,0,0,0,0,22000,0,0,0,0,Aluva,Ernakulam
AKSHARA OFFSET,"Near Malloor Road, Ambujavilasam Rd, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695035, India",Kerala,695035,0,0,0,0,27182,0,0,0,0,Thiruvananthapuram,Thiruvananthapuram
ALAINA INTERNATIONAL,"Thiruvazhamkunnu, Kerala 678601, India",Kerala,678601,0,0,0,0,257235,185863,59860,0,0,Mannarkad,Palakkad
ARIHANT ASOCIATES,"66A & 56, 1, Panchali Amman Koil Street, above Mahalakshmi Medicals, Koluthuvanchery, Jai Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",Tamil Nadu,600106,0,0,0,0,2270,0,0,0,0,Maduravoyal,Chennai
AROHA CLINIC,"Akshaya Building, Opp BSNL,Manakkadavu Road, Pantheerankavu, Kodal Nadakkavu, Kozhikode, Pantheeramkavu, Kerala 673019, India",Kerala,673019,0,0,0,0,920,3420,0,0,0,Kozhikode,Kozhikode
ARUL JOTHI EXPORTS,"Sf No 231/4A, Velleygoundanur pirivu, Mannur, to, Palakkad - Pollachi Rd, opposite Govt High School, Pollachi, Velleygoundanur, Tamil Nadu 642005, India",Tamil Nadu,642005,0,0,0,0,83860,113039,255140,56350,0,Pollachi,Coimbatore
AUCTUS APPARELS,"39G5+QM8, Unnamed Road, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,0,0,0,0,635,915,0,0,0,Kangayam,Erode
AURA EXPORTS,"India 31, Poongothainagar Main Road, Goldwins, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014, India",Tamil Nadu,641014,0,0,0,0,25035,2870,108650,218484,235667,Coimbatore South,Coimbatore
AVA CHOLAYIL HEALTH CARE,"1583, 15th Main Rd, Bharathi Colony, J Block, Bharathi Nagar, Anna Nagar, Chennai, Tamil Nadu 600040, India",Tamil Nadu,600040,0,0,0,0,123525,523530,370001,427279,296799,Egmore Nungambakkam,Chennai
B.H.M.CORPORATION,"41, LIC Colony Rd, Lic Colony, Selvapuram Muthuswamy Colony, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",Tamil Nadu,641002,0,0,0,0,7200,0,0,0,0,Coimbatore South,Coimbatore
BHAIRAV EXPORTS,"No.2, 6/31, Venkatachalam Naicken Street, Triplicane, Chennai - 600 005, Venkatachalam(Naicken) St, Narayana Krishnaraja Puram, Triplicane, Chennai, Tamil Nadu 600003, India",Tamil Nadu,600003,0,0,0,0,5719,0,0,0,0,Tondiarpet Fort St George,Chennai
BMK INTERNATIONAL,"BMK international ,13/725 D pipeline road,Thoppil ,Thrikkakara ,Ernakulam, Pin, Marottichuvadu, Edappally, Kochi, Kerala code :682021, India",Kerala,682021,0,0,0,0,377,758,0,1836,0,Ernakulam,Ernakulam
CALIX IMPEX,"8/42 NACHIMUTHU GARDEN, Tex Park Road, Nehru Nagar West, Coimbatore, Tamil Nadu 641014, India",Tamil Nadu,641014,0,0,0,0,150800,584312,713113,1409352,1748111,Coimbatore South,Coimbatore
CHARLES EXPORTERS,"49/26, Annes Convent Street, By Pass Road, Ponmeni, Ponmeni, Madurai, Tamil Nadu 625016, India",Tamil Nadu,625016,0,0,0,0,28069,18815,19562,0,0,Madurai South,Madurai
CLOUDS INTERNATIONAL EXPORTS,"Kanjirappally, Kerala 686507, India",Kerala,686507,0,0,0,0,1667,0,0,0,0,Kanjirappally,Kottayam
CMB EXPORTS,"no.85 ,gandhi market, Oddanchatram, Tamil Nadu 624619, India",Tamil Nadu,624619,0,0,0,0,23576,0,0,0,0,Dindigul,Dindigul
