Month_Day,2018,2019,2020,2021,2022
12-16,1030556,3601666,967871,1001102,54200
12-17,1530251,995967,751870,1001102,1157229
12-18,1765062,285767,985410,1001102,410130
12-19,174369,995967,2185577,617646,1363541
12-20,1030556,666645,179996,149415,1198180
12-21,1241728,511703,391474,1957493,2467849
12-22,594721,995967,248608,1574834,1198180
12-23,1030556,1871252,1462512,1001102,82256
12-24,3122642,117747,606878,1224472,1198180
12-25,103044,253650,959254,1004549,1086993
12-26,1030556,2004698,1433966,1001102,1408096
12-27,125924,643626,985410,2648166,1669346
12-28,2477337,995967,3430383,1001102,1113987
12-29,1030556,392141,985410,966369,278274
12-30,1030556,1054901,134188,178873,416466
12-31,903441,1088381,985410,1001102,1218553
